Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
144	0	-43.5985	-49.0281	5.42961	0.7217523	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7425044	1.668306
145	1	-46.4235	-49.4961	3.0726	0.8491277	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.9284613	4.135819
146	0	-42.954	-48.7889	5.83495	0.5474973	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.166017	0.9697807
147	1	-42.6478	-48.9725	6.32473	0.4534337	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.292703	0.3721634
148	0	-43.1561	-49.5455	6.38936	0.3566954	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4691362	1.233942
149	1	-43.1045	-48.8076	5.70311	0.6123415	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.37752	0.8380152
150	0	-42.719	-49.1452	6.42617	0.7589889	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.132355	0.04815428
151	1	-45.6862	-50.0559	4.36961	0.9648512	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.942181	0.4408239
152	0	-43.6099	-49.1252	5.51536	0.418395	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.04952867	2.620255
153	1	-48.2692	-50.105	1.83575	0.974131	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.175747	4.211725
